Title,Synopsis,"Award Type","Next due date (Y-m-d)","Proposals accepted anytime","Program ID","NSF/PD Num",Status,"Posted date (Y-m-d)",URL,Type,"Solicitation URL"
"Antarctic Research Requiring U.S. Antarctic Program Support for Fieldwork","The Antarctic Sciences Section (ANT) of the Office of Polar Programs (OPP) supports cutting-edge research that:
Improves understanding of interactions among the Antarctic region and global systems;
Expands fundamental knowledge of Antarctic systems, biota, and processes;
Utilizes the unique characteristics of the Antarctic region as a science observing platform; and
Builds capacity and enhances diversity in the US workforce for polar-related science.
The U.S. Antarctic Program (USAP) supports scientific research in Antarctica and the Southern Ocean with logistics provided by OPP’s Antarctic Infrastructure and Logistics Section (AIL). Antarctic fieldwork is supported only for research that must be performed, or is best performed, in Antarctica. Proposals that do not require USAP support for field work can be submitted anytime using solicitation NSF 23-508, Antarctic Research Not Requiring U.S. Antarctic Program (USAP) Support for Fieldwork.
Diversifying and broadening participation is a priority for the Antarctic Sciences Section. ANT encourages the leadership, partnership, and contributions of individuals who are members of groups underrepresented and/or underserved in all opportunities in STEM education programs and careers. ANT promotes and expects that all individuals, including those from groups that are underrepresented and/or underserved in STEM are treated equitably and inclusively throughout the Foundation’s proposal and award process.
The Antarctic Sciences Section coordinates with programs across NSF and with other federal and international partners to co-review and co-fund Antarctic-related proposals as appropriate.","standard, continuing","2023-06-01, 2023-06-01",,506093,nsf23509,Cleared,2022-10-17,https://beta.nsf.gov/funding/opportunities/antarctic-research-requiring-us-antarctic-program,Program,https://www.nsf.gov/publications/pub_summ.jsp?WT.z_pims_id=506093&ods_key=nsf23509
"Antarctic Research Not Requiring U.S. Antarctic Program Field Support","The Antarctic Sciences Section (ANT) of the Office of Polar Programs (OPP) supports cutting-edge research that:
Improves understanding of interactions among the Antarctic region and global systems;
Expands fundamental knowledge of Antarctic systems, biota, and processes;
Utilizes previously collected samples or focuses on non-field-supported themes;
Utilizes the unique characteristics of the Antarctic region as a science observing platform; and
Builds capacity and enhances diversity in the US workforce for polar-related science.
ANT encourages and supports non-fieldwork research that crosses and combines disciplinary perspectives and approaches from other fields. ANT encourages and supports research that uses existing data and samples and other research not requiring a presence in Antarctica. Proposals that require USAP support for field work must use solicitation NSF 23-509, Antarctic Research Requiring U.S. Antarctic Program (USAP) Support for Fieldwork.
Diversifying and broadening participation is a priority for the Antarctic Sciences Section. ANT encourages the leadership, partnership, and contributions of individuals who are members of groups underrepresented and/or underserved in all opportunities in STEM education programs and careers. ANT promotes and expects that all individuals, including those from groups that are underrepresented and/or underserved in STEM are treated equitably and inclusively throughout the Foundation’s proposal and award process.
The Antarctic Sciences Section coordinates with programs across NSF and with other federal and international partners to co-review and co-fund Antarctic-related proposals as appropriate.","standard, continuing",,,506099,nsf23508,Cleared,2022-10-17,https://beta.nsf.gov/funding/opportunities/antarctic-research-not-requiring-us-antarctic,Program,https://www.nsf.gov/publications/pub_summ.jsp?WT.z_pims_id=506099&ods_key=nsf23508
"Experiential Learning for Emerging and Novel Technologies (ExLENT)","Through this new initiative, the Directorate for Education and Human Resources (EHR) and the newly established Directorate for Technology, Innovation and Partnerships (TIP) seek to support experiential learning opportunities for individuals from diverse professional and educational backgrounds that will increase access to, and interest in, career pathways in emerging technology fields (e.g., advanced manufacturing, advanced wireless, artificial intelligence, biotechnology, quantum information science, semiconductors, and microelectronics). As NSF seeks to support the development of technologies in such fields, similar support will be needed to foster and grow a diverse science, technology, engineering, and mathematics (STEM) workforce to contribute to such innovation. Large scale societal challenges like climate change and clean energy also require a STEM workforce that brings varied perspectives and expertise to further accelerate the translation of science and engineering discoveries into large-scale solutions. Moreover, as current and new emerging technologies continue to evolve, unforeseen issues around security, safety and privacy will impact the preparation of the workforce. Emerging technologies are also dynamic and rapidly changing, with career entry and advancement often requiring ""learning-by-doing"" experience, even for those with some STEM education. Therefore, NSF recognizes that a competitive emerging technology workforce must include individuals from traditional and nontraditional education pathways as well as those individuals who may have “stopped” out of traditional educational pathways.
The ExLENT program will support inclusive experiential learning opportunities designed to provide cohorts of diverse learners with the crucial skills needed to succeed in emerging technology fields and prepare them to enter the workforce ready to solve our Nation’s most pressing scientific and societal challenges. Furthermore, the ExLENT program will directly support NSF’s priority to build a diverse workforce1 in emerging technologies to assure the Nation’s competitiveness in STEM.  
Key goals of the program are to (1) expand access to career-enhancing experiential learning opportunities for a broader, more diverse population, including adult learners interested in re-skilling and/or upskilling (e.g., those who face or who have faced significant barriers to accessing a formal STEM education); (2) promote cross sector partnerships between organizations in emerging technology fields and those with expertise in workforce development; and (3) develop a workforce aligned with regional economies based on emerging technologies across the Nation, in alignment with the mission of the TIP Directorate.  ",coop,"2023-03-02, 2023-03-02",,506091,nsf23507,Cleared,2022-10-17,https://beta.nsf.gov/funding/opportunities/experiential-learning-emerging-novel-technologies,Program,https://www.nsf.gov/publications/pub_summ.jsp?WT.z_pims_id=506091&ods_key=nsf23507
"Supplemental Funding Requests for National Science Foundation Research Traineeship (NRT) US-Ireland Student Mobility Program",,supplemental,,,,nsf23013,,2022-10-17,https://beta.nsf.gov/funding/opportunities/supplemental-funding-requests-national-science,"Dear colleague letter",
"Great American Solar Eclipses 2023 and 2024",,"supplemental, standard, continuing",,,,nsf23014,,2022-10-17,https://beta.nsf.gov/funding/opportunities/great-american-solar-eclipses-2023-2024,"Dear colleague letter",
"NRT-PREM Collaborative Supplements",,supplemental,,,,nsf23015,,2022-10-17,https://beta.nsf.gov/funding/opportunities/nrt-prem-collaborative-supplements,"Dear colleague letter",
"Expanding AI Innovation through Capacity Building and Partnerships (ExpandAI)","The National Science Foundation and its partners support the continued growth of a broad and diverse interdisciplinary research community for the advancement of AI and AI-powered innovation, providing a unique opportunity to broadly promote the NSF vision and core values, especially inclusion and collaboration. The Expanding AI Innovation through Capacity Building and Partnerships (ExpandAI) program aims to significantly broaden participation in AI research, education, and workforce development through capacity development projects and through partnerships within the National AI Research Institutes ecosystem.","standard, continuing","2023-03-13, 2023-03-13",,506090,nsf23506,Cleared,2022-10-13,https://beta.nsf.gov/funding/opportunities/expanding-ai-innovation-through-capacity-building,Program,https://www.nsf.gov/publications/pub_summ.jsp?WT.z_pims_id=506090&ods_key=nsf23506
"Arecibo Center for STEM Education and Research (ACSER)","The National Science Foundation (NSF) hereby solicits proposals for the establishment of the Arecibo Center for STEM Education and Research (ACSER) at the original site of the Arecibo Observatory (AO). NSF seeks to evaluate proposals that would transition the existing AO site to the new ACSER, shifting the disciplinary focus from primarily on the astronomical sciences to science, technology, engineering, and mathematics (STEM) education and research more broadly [1]. ACSER would serve as a hub for STEM discovery and exploration by building upon existing programs and opportunities currently in place at the AO site, while also creating and implementing new STEM education, research, and outreach programs and initiatives.
The goals of ACSER would be to:
promote STEM education, learning, and teaching,
support fundamental and applied STEM and STEM education research,
broaden participation in STEM, and  
build and leverage existing and new collaborations and partnerships.
The reimagined Center would have a significant role in modeling and advancing equitable and inclusive STEM education and research, especially in Puerto Rico and for individuals and communities underrepresented in STEM. ACSER would be poised to serve as a catalyst for increased and inclusive engagement in a broad range of STEM disciplines, cutting-edge research, and workforce development initiatives by students, teachers, researchers, local communities, and the public within and outside of Puerto Rico.
NSF recognizes the scientific, educational, historic, cultural, and economic significance of the AO site to Puerto Rico and the global scientific community. Listed on the US National Register of Historic Places, the AO site is identified as a historic district worthy of preservation and includes a Learning Center, a Visitor’s Center and Shop, an auditorium, exhibition space, cafeteria, office space, and dormitories. This solicitation calls for proposals to manage the education, research, and outreach aspects of ACSER. A third-party contractor would be responsible for overall site maintenance.


[1] Prior to reaching a final decision in response to this solicitation, NSF will need to complete any required environmental reviews.",coop,,,506109,nsf23505,Cleared,2022-10-12,https://beta.nsf.gov/funding/opportunities/arecibo-center-stem-education-research-acser,Program,https://www.nsf.gov/publications/pub_summ.jsp?WT.z_pims_id=506109&ods_key=nsf23505
"Opportunity for Active EFRI, ERC and IUCRC Awardees to Apply for Supplemental Funding through the Research Experience and Mentoring (REM) Program",,supplemental,,,,nsf23012,,2022-10-12,https://beta.nsf.gov/funding/opportunities/opportunity-active-efri-erc-iucrc-awardees-apply-0,"Dear colleague letter",
"Biological Anthropology Program - Doctoral Dissertation Research Improvement Grants (BA-DDRIG)","The Biological Anthropology Program seeks to advance scientific knowledge about the processes that have shaped biological diversity in living and fossil humans and their primate relatives through support of basic research on human and primate evolution, biological variation, and interactions between biology, behavior and culture. The program supports a portfolio of research that demonstrates engagement with biological anthropological and evolutionary theory; includes diverse and interdisciplinary methods in field, laboratory and computational settings; encompasses multiple levels of analysis (e.g., molecular, organismal, population, ecosystem) and time scales from the short-term to evolutionary; and considers the ethical implications and societal impacts of the research. The program also supports a wide range of broader impact activities as part of research grants, including research outcomes with inherent benefit to society, efforts to broaden participation in science, technology, engineering, and mathematics (STEM) training, research and outreach activities and other evidence-based activities developed within the context of the mission, goals and resources of the organizations and people involved.
The program contributes to the integration of education and basic research through support of dissertation projects conducted by doctoral students enrolled in U.S. universities. This solicitation specifically addresses the preparation and evaluation of proposals for Doctoral Dissertation Research Improvement Grants (DDRIG). Dissertation research projects in all of the subareas of biological anthropology are eligible for support through these grants. These awards are intended to enhance and improve the conduct of dissertation research by doctoral students who are pursuing research in biological anthropology that enhances basic scientific knowledge.",standard,"2023-07-31, 2023-07-31",,505067,nsf23504,Cleared,2022-10-11,https://beta.nsf.gov/funding/opportunities/biological-anthropology-program-doctoral,Program,https://www.nsf.gov/publications/pub_summ.jsp?WT.z_pims_id=505067&ods_key=nsf23504
"Biological Anthropology Program Senior Research Awards (BA-SR)","The Biological Anthropology Program seeks to advance scientific knowledge about the processes that have shaped biological diversity in living and fossil humans and their primate relatives through support of basic research on human and primate evolution, biological variation, and interactions between biology, behavior, and culture. The program supports a portfolio of research that demonstrates engagement with biological anthropological and evolutionary theory; includes diverse and interdisciplinary methods in field, laboratory and computational settings; encompasses multiple levels of analysis (e.g., molecular, organismal, population, ecosystem) and time scales from the short-term to evolutionary; and considers the ethical implications and societal impacts of the research. The program also supports a wide range of broader impact activities as part of research grants, including research outcomes with inherent benefit to society, efforts to broaden participation in science, technology, engineering, and mathematics (STEM) research, training and outreach activities and other evidence-based activities developed within the context of the mission, goals, and resources of the organizations and people involved.","standard, continuing","2023-07-31, 2023-07-31",,506111,nsf23503,Cleared,2022-10-11,https://beta.nsf.gov/funding/opportunities/biological-anthropology-program-senior-research,Program,https://www.nsf.gov/publications/pub_summ.jsp?WT.z_pims_id=506111&ods_key=nsf23503
"Cultural Anthropology Program - Doctoral Dissertation Research Improvement Grants (CA-DDRIG)","The primary objective of the Cultural Anthropology Program is to support basic scientific research on the causes, consequences and complexities of human social and cultural variability.
Contemporary cultural anthropology is an arena in which diverse research traditions and methodologies are valid in investigations of human cultural variation. Recognizing the breadth of the field's contributions to science, the Cultural Anthropology Program welcomes proposals for empirically grounded, theoretically engaged and methodologically sophisticated research in all sub-fields of cultural anthropology. Because the National Science Foundation's mission is to support basic research, the NSF Cultural Anthropology Program does not fund research that takes as its primary goal improved clinical practice, humanistic understanding or applied policy. A proposal that applies anthropological methods to a social problem but does not propose how that problem provides an opportunity to make a theory-testing and/or theory-expanding contribution to anthropology will be returned without review.
Program research priorities include, but are not limited to, research that increases our understanding of:
Sociocultural drivers of critical anthropogenic processes such as deforestation, desertification, land cover change, urbanization and poverty.
Resilience and robustness of sociocultural systems.
Scientific principles underlying conflict, cooperation and altruism, as well as explanations of variation in culture, norms, behaviors and institutions.
Economy, culture, migration and globalization.
Variability and change in kinship and family norms and practices.
General cultural and social principles underlining the drivers of health outcomes and disease transmission.
Biocultural work that considers the nexus of human culture and its relationship with human biology.
Social regulation, governmentality and violence.
Origins of complexity in sociocultural systems.
Language and culture: orality and literacy, sociolinguistics and cognition.
Theoretically-informed approaches to co-production in relation to scientific understandings of human variability and environmental stewardship.
Mathematical and computational models of sociocultural systems such as social network analysis, agent-based models, multi-level models, and modes that integrate agent-based simulations and geographic information systems (GIS).
As part of its effort to encourage and support projects that explicitly integrate education and basic research, CA provides support to enhance and improve the conduct of doctoral dissertation projects designed and carried out by doctoral students enrolled in U.S. institutions of higher education who are conducting scientific research that enhances basic scientific knowledge.",standard,"2023-08-15, 2023-08-15",,505057,nsf23502,Cleared,2022-10-11,https://beta.nsf.gov/funding/opportunities/cultural-anthropology-program-doctoral,Program,https://www.nsf.gov/publications/pub_summ.jsp?WT.z_pims_id=505057&ods_key=nsf23502
"Mathematical and Physical Sciences Ascending Postdoctoral Research Fellowships (MPS-Ascend)","The purpose of the Mathematical and Physical Sciences Ascending Postdoctoral Research Fellowship (MPS-Ascend) program is to support postdoctoral Fellows who will broaden the participation of members of groups that are historically excluded and currently underrepresented in MPS fields in the U.S., defined in this solicitation as Blacks or African Americans, Hispanics, Latinos, Indigenous and Native Americans, Alaska Natives, Native Hawaiians and other Native Pacific Islanders, as future leaders in MPS fields. The program is intended to recognize beginning investigators of significant potential and provide them with experience in research that will broaden perspectives, facilitate interdisciplinary interactions, and help broaden participation within MPS fields. The program funds postdoctoral Fellows in research environments that will have maximal impact on their future scientific development and facilitates their transition into a faculty appointment. Awards will support research in any scientific area within the purview of the five MPS Divisions: the Divisions of Astronomical Sciences (AST), Chemistry (CHE), Materials Research (DMR), Mathematical Sciences (DMS), and Physics (PHY). Fellowships are awards to individuals, not institutions, and are administered by the Fellows.
 ",fellow,"2023-10-18, 2023-10-18",,505879,nsf23501,Cleared,2022-10-11,https://beta.nsf.gov/funding/opportunities/mathematical-physical-sciences-ascending,Program,https://www.nsf.gov/publications/pub_summ.jsp?WT.z_pims_id=505879&ods_key=nsf23501
"SBE Postdoctoral Research Fellowships (SPRF)","The Directorate for Social, Behavioral and Economic Sciences (SBE) offers Postdoctoral Research Fellowships to encourage independence early in the fellow's career by supporting his or her research and training goals. The research and training plan of each fellowship must address important scientific questions within the scope of the SBE directorate and the specific guidelines in this solicitation. The SPRF program offers two tracks: (I) Fundamental Research in the SBE Sciences (SPRF-FR) and (II) Broadening Participation in the SBE Sciences (SPRF-BP). See the full text of the solicitation for a detailed description of these tracks. ",fellow,"2023-11-01, 2023-11-01",,504810,nsf23500,Cleared,2022-10-07,https://beta.nsf.gov/funding/opportunities/sbe-postdoctoral-research-fellowships-sprf,Program,https://www.nsf.gov/publications/pub_summ.jsp?WT.z_pims_id=504810&ods_key=nsf23500
"ANR - NSF/MCB/PHY Lead Agency Opportunity at the Molecular and Cellular Biosciences - Physics Interface",,"standard, continuing",,,,nsf22129,,2022-10-03,https://beta.nsf.gov/funding/opportunities/anr-nsfmcbphy-lead-agency-opportunity-molecular,"Dear colleague letter",
"Atmospheric and Geospace Sciences Postdoctoral Research Fellowships (AGS-PRF)","The Division of Atmospheric and Geospace Sciences (AGS), awards Postdoctoral Research Fellowships (PRF) to highly qualified early career investigators to carry out an independent research program. The research plan of each Fellowship must address scientific questions within the scope of AGS disciplines. These disciplines include Atmospheric Chemistry (ATC), Climate and Large-Scale Dynamics (CLD), Paleoclimate (PC), and Physical and Dynamic Meteorology (PDM) in the Atmospheric Sciences, and Aeronomy (AER), Magnetospheric Physics (MAG), Solar Terrestrial (ST), and Space Weather Research (SWR) in the Geospace Sciences.
The AGS-PRF program supports researchers (also known as Fellows) for a period of up to 24 months with Fellowships that can be taken to the institution of their choice. The program is intended to recognize beginning investigators of significant potential and provide them with experiences in research that will broaden perspectives, facilitate interdisciplinary interactions, and help establish them in leadership positions within the Atmospheric and Geospace Sciences community. Fellowships are awards to individual Fellows, not institutions, and are administered by the Fellows.
AGS has made it a priority to address challenges in creating an inclusive geoscience discipline through activities that increase belonging, accessibility, justice, equity, diversity, and inclusion (BAJEDI). Proposers are encouraged to explicitly address this priority in their proposed activities. Proposers who are women, veterans, persons with disabilities, and underrepresented minorities in science, technology, engineering, and mathematics (STEM), or who have attended two-year colleges and minority-serving institutions for undergraduate or graduate school, or plan to conduct their Fellowship activities at one of these institutions (e.g. Historically Black Colleges and Universities, Tribal Colleges and Universities, Hispanic Serving Institutions, Alaska Native Serving Institutions, and Hawaiian Native and Pacific Islander Serving Institutions) are especially encouraged to apply.",fellow,,,12779,nsf22639,Cleared,2022-09-30,https://beta.nsf.gov/funding/opportunities/atmospheric-geospace-sciences-postdoctoral,Program,https://www.nsf.gov/publications/pub_summ.jsp?WT.z_pims_id=12779&ods_key=nsf22639
"Build and Broaden: Enhancing Social, Behavioral and Economic Science Research and Capacity at Minority-Serving Institutions (B2)","Build and Broaden (B2) supports fundamental research and research capacity across disciplines at minority-serving institutions (MSIs) and encourages research collaborations with scholars at MSIs. Growing the science, technology, engineering and mathematics (STEM) workforce is a national priority. National forecasts of the impending shortage of workers with science and engineering skills and essential research workers underscore a need to expand opportunities to participate in STEM research (President’s Council of Advisors on Science and Technology, 2012).
MSIs make considerable contributions to educating and training science leaders for U.S. economic growth and competitiveness. Yet NSF has received comparatively few grant submissions from, or involving, scholars at MSIs. Targeted outreach activities reveal that MSIs have varying degrees of familiarity with funding opportunities within NSF and particularly within the Social, Behavioral and Economic (SBE) Sciences Directorate. As a result, NSF is limited in its ability to support research and training opportunities in the SBE sciences at these institutions. With its emphasis on broadening participation , Build and Broaden is designed to address this problem. SBE offers Build and Broaden in order to increase proposal submissions, advance research collaborations and networks involving MSI scholars, and support research activities in the SBE sciences at MSIs. Proposals that outline research projects in the SBE sciences that increase students’ pursuit of graduate training, enhance PI productivity build research capacity, or cultivate partnerships  are especially encouraged to apply.
Proposals are invited from single principal investigators based at MSIs and from multiple co-investigators from  groups of MSIs. Principal investigators who are not affiliated with MSIs may submit proposals, but must collaborate with PIs, co-PIs, or senior personnel from MSIs and describe how their project will foster research partnerships or capacity-building with at least one MSI as a primary goal of the proposed work. Proposals may address any scientific and cross-disciplinary areas supported by SBE. These areas include anthropology, archaeology, cognitive neuroscience, decision science, ecological research, economics, geography, linguistics, law and science, organizational behavior, political science, public policy, security and preparedness, psychology, and sociology. To find research areas supported by SBE please visit the SBE programs page or visit the NSF funding and awards page.","standard, continuing","2024-01-18, 2024-01-18",,505864,nsf22638,Cleared,2022-09-30,https://beta.nsf.gov/funding/opportunities/build-broaden-enhancing-social-behavioral-economic,Program,https://www.nsf.gov/publications/pub_summ.jsp?WT.z_pims_id=505864&ods_key=nsf22638
"Mid-scale Research Infrastructure-1 (Mid-scale RI-1)","In 2016, the National Science Foundation (NSF) unveiled a set of “Big Ideas,” 10 bold, long-term research and process ideas that identify areas for future investment at the frontiers of science and engineering (see https://www.nsf.gov/news/special_reports/big_ideas/index.jsp). The Big Ideas represent unique opportunities to position our Nation at the cutting edge of global science and engineering leadership by bringing together diverse disciplinary perspectives to support convergence research. As such, when responding to this solicitation, even though proposals must be submitted to the Office of Integrative Activities, once received, the proposals will be managed by a cross-disciplinary team of NSF Program Directors.
NSF-supported science and engineering research increasingly relies on cutting-edge infrastructure. With its Major Research Instrumentation (MRI) program and Major Multi-user Facilities (""Major Facilities"") projects, NSF supports infrastructure projects at the lower and higher range of infrastructure project costs, Foundation-wide, across science and engineering research disciplines. The Mid-scale Research Infrastructure Big Idea is intended to provide NSF with an agile, Foundation-wide process to fund experimental research capabilities in the mid-scale range between MRI and Major Facilities.
NSF defines Research Infrastructure (RI) as any combination of facilities, equipment, instrumentation, or computational hardware or software, and the necessary human capital in support of the same. Major facilities and mid-scale projects are subsets of research infrastructure. The NSF Mid-scale Research Infrastructure-1 Program (Mid-scale RI-1) supports either the design or implementation of unique and compelling RI projects. Mid-scale implementation projects may include any combination of equipment, instrumentation, cyberinfrastructure, broadly used large scale datasets and the personnel needed to successfully commission the project. Mid-scale RI-1 design projects include the design efforts intended to lead to eventual implementation of a mid-scale class RI project. Mid-scale RI-1 projects should involve the training of a diverse workforce engaged in the design and implementation of STEM research infrastructure.
Mid-scale RI-1 emphasizes strong scientific merit, a response to an identified need of the research community and/or fulfillment of a national need to enable U.S. researchers to be competitive in a global research environment. Well-conceived technical and management plans are essential for both design and implementation proposals, as are well-developed plans (e.g., mentoring and professional development) for student training and the involvement of a diverse STEM workforce in all aspects of mid-scale design and/or implementation activities. The inclusion of individual project participants who are women, early-career researchers, persons with disabilities and members of other underrepresented groups are especially encouraged at all levels of the project team.
Within Mid-scale RI-1, proposers may submit two types of projects, “Implementation” (e.g., acquisition and/or construction) or “Design”. The “Design” track is intended to facilitate progress toward readiness for a mid-scale range implementation project. Both Implementation and Design projects may involve new or upgraded research infrastructure. Mid-scale RI-1 ""Implementation"" projects may have a total project cost ranging from $4 million up to but not including $20 million. Mid-scale RI-1 ""Design"" projects may request less than $4 million, with a minimum request of $400,000 and a maximum request up to but not including $20 million, as appropriate, to prepare for a future mid-scale range implementation project. (Note: Successful award of a Mid-scale RI-1 design project does not imply NSF commitment to the future implementation of the project being designed, nor is a Mid-scale RI-1 design award required for the submission of an implementation project.)
The Mid-scale RI-1 Program seeks to broaden the representation of PIs and institutions in its award portfolio, including a geographically diverse set of institutions (especially those in EPSCoR jurisdictions). Proposals submitted by, or involving partnerships between institutions are encouraged. PIs who are women, early-career researchers, persons with disabilities and other underrepresented minorities in STEM are also encouraged. To improve participation in science and engineering research for persons with disabilities, Mid-scale RI-1 encourages PIs to incorporate accessibility as part of a Mid-scale RI-1 design and implementation projects.
Please consult NSF's Research Infrastructure Guide, RIG, (available at https://www.nsf.gov/pubs/2021/nsf21107/nsf21107.pdf) for definitions of certain terms used in this solicitation, such as the Project Execution Plan (PEP). Section 5 of the RIG provides guidance specific to Mid-scale Research Infrastructure Projects, including references to other parts of the RIG as needed. Note that PEP should be appropriately scaled for the complexity of the project and may not require all of the elements described in the RIG.
Mid-scale research infrastructure projects with total project costs beyond the Mid-scale RI-1 Program limit are separately solicited through the Mid-scale RI-2 Program. Proposals to the Mid-scale RI-1 Program with total project costs beyond this solicitation's budgetary limits, either during initial submission or cost analyses/revisions during subsequent review, are subject to return without further review. ","standard, continuing, coop","2023-05-05, 2023-05-05",,505602,nsf22637,Cleared,2022-09-30,https://beta.nsf.gov/funding/opportunities/mid-scale-research-infrastructure-1-mid-scale-ri-1,Program,https://www.nsf.gov/publications/pub_summ.jsp?WT.z_pims_id=505602&ods_key=nsf22637
"Advanced Chip Engineering Design and Fabrication (ACED Fab)","The Directorate for Engineering (ENG), Division of Electrical, Communications and Cyber Systems (ECCS), Division of Chemical, Bioengineering, Environmental, and Transport Systems (CBET), Division of Civil, Mechanical and Manufacturing Innovation (CMMI), Division of Engineering Education and Centers (EEC), and The Office of International Science and Engineering (OISE) of the National Science Foundation (NSF) and the Department of Engineering and Technologies (DET) of the Taiwan National Science and Technology Council (NSTC) are pleased to announce and launch an NSF-NSTC semiconductor collaboration program titled “Advanced Chip Engineering Design and Fabrication (ACED Fab)”. This program aims to leverage the complementary academic talent and engineering strengths of semiconductor research in the U.S. and Taiwan to enable chip design and fabrication to advance semiconductor science, engineering, and education.
This partnership program is guided by the Memorandum of Understanding (MOU) and Implementing Arrangement for Cooperation in Advanced Semiconductor Chip Design and Fabrication signed by the American Institute in Taiwan (AIT) and the Taipei Economic and Cultural Representative Office in the United States (TECRO). The MOU provides guidelines for a collaborative arrangement whereby U.S. researchers may receive funding from NSF and Taiwan researchers may receive funding from the Taiwan National Science and Technology Council (NSTC). Through a lead agency model, NSF and NSTC, as AIT and TECRO’s Designated Representatives under the MOU, respectively, invite U.S. and Taiwan researchers to submit a single collaborative proposal that will undergo a single review process at NSF, which will be the lead agency. NSTC will honor the NSF merit review process and will coordinate with NSF on award decisions. Awards to researchers in the U.S. and Taiwan will be issued in parallel by NSF and NSTC, respectively.
The ACED Fab supports innovative design and fabrication projects of semiconductor chips utilizing advanced technologies of Taiwan’s semiconductor foundries. Proposals are encouraged to target emerging applications (but not limited to): High-performance, low-power circuits and systems; Edge-AI sensing, computing, and communication; Quantum computing and communication chips; and Emerging semiconductor heterogeneous integration.
An ACED Fab proposal must be an integrated collaborative effort between the U.S. and Taiwan researchers. The research project must aim to bring a specific innovation to integrated circuit prototypes that demonstrate advanced functionality and utilize advanced fabrication technology as differentiators. The scope of an ACED Fab proposal must include at least one semiconductor chip design for tape-out utilizing fabrication process technologies of Taiwan’s semiconductor foundries via multi-project wafer runs within the duration of the project.
General and specific inquiries regarding this funding opportunity are directed to email: nsf-acedfab@nsf.gov. 
Taiwan researchers are invited to read the NSTC announcement at https://www.nstc.gov.tw/folksonomy/rfpList?l=ch. The NSTC website indicates the funding limits for Taiwan researchers in this ACED Fab collaborative program. NSTC’s support for Taiwan researchers will be for the duration approved by NSF for the U.S. grantees of the same team.
 ","standard, continuing",,,506108,nsf22636,Cleared,2022-09-29,https://beta.nsf.gov/funding/opportunities/advanced-chip-engineering-design-fabrication-aced,Program,https://www.nsf.gov/publications/pub_summ.jsp?WT.z_pims_id=506108&ods_key=nsf22636
"Office of Polar Programs Postdoctoral Research Fellowships (OPP-PRF)","The Office of Polar Programs (OPP) offers postdoctoral research fellowships (PRF) to provide opportunities for early career scientists, including social scientists, to accomplish one or more of the following goals: expand their work across traditional disciplinary lines, develop new partnerships connecting the polar regions and/or non-polar research communities, and provide entry to researchers who have traditionally had limited access to polar research resources, sites and facilities. The fellowship program encourages the integration of new investigators who have not previously worked in polar regions and/or innovative techniques that have not previously been applied to polar science into polar research. Additionally, the OPP-PRF aims to support beginning investigators with experiences that will establish them in positions of leadership in the scientific community. During their tenure, Fellows will affiliate with a host research institution(s) and conduct research on topics supported by OPP. Successful proposers will participate in a professional development program that will promote mentoring skills and coordinate their involvement in activities that increase the engagement of groups that have previously had limited engagement in polar Science, Technology, Engineering, and Mathematics (STEM).
Prospective fellows must be U.S. citizens, nationals or permanent residents. Proposers who are women, veterans, persons with disabilities, and underrepresented minorities in STEM, or who have attended community colleges and minority-serving institutions (e.g., Historically Black Colleges and Universities, Tribal Colleges and Universities, Hispanic Serving Institutions, Alaska Native Serving Institutions, and Hawaiian Native and Pacific Islander Serving Institutions) are especially encouraged to apply.
Fellowship proposals must be submitted by individuals. However, if an award is recommended, the proposal will be transferred to the host institution where the postdoctoral Fellow will be named as the PI. The award will be issued to the host institution as a regular research award, and the award will be administered by the host institution(s).",standard,"2024-02-05, 2024-02-05",,505887,nsf22635,Cleared,2022-09-29,https://beta.nsf.gov/funding/opportunities/office-polar-programs-postdoctoral-research,Program,https://www.nsf.gov/publications/pub_summ.jsp?WT.z_pims_id=505887&ods_key=nsf22635
"Building Investigators' Capacity to Leverage Emerging Technologies to Improve STEM Education Research",,"standard, continuing",,,,nsf22126,,2022-09-26,https://beta.nsf.gov/funding/opportunities/building-investigators-capacity-leverage-emerging,"Dear colleague letter",
